TARGET_ID,disease_id,03_Info_Molecules_ID,MOL_ID,molecule_name,ob,mw,alogp,caco2,bbb,hdon,hacc,drug-likeness,inchikey,PubChem_Cid,halflife,RBN,TPSA,FASA-,04_Info_Targets_ID,TAR_ID,drugbank_ID,target_name,34_Molecules_Targets_Relationships_ID,MOL ID
TAR00491,DIS00353,8,MOL000008,apigenin,23.062161017,270.250,2.334,0.42560,-0.61090,3,5,0.21306,KZNIFHPLKGYRTM-UHFFFAOYSA-N,5280443,,1,90.9,0.40886214,477,TAR00491,2404,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",139,MOL000008
TAR00078,DIS00443,8,MOL000008,apigenin,23.062161017,270.250,2.334,0.42560,-0.61090,3,5,0.21306,KZNIFHPLKGYRTM-UHFFFAOYSA-N,5280443,,1,90.9,0.40886214,76,TAR00078,238,Peroxisome proliferator activated receptor gamma,129,MOL000008
TAR00265,DIS00203,8,MOL000008,apigenin,23.062161017,270.250,2.334,0.42560,-0.61090,3,5,0.21306,KZNIFHPLKGYRTM-UHFFFAOYSA-N,5280443,,1,90.9,0.40886214,253,TAR00265,777,Tumor necrosis factor,108,MOL000008
TAR00003,DIS00442,8,MOL000008,apigenin,23.062161017,270.250,2.334,0.42560,-0.61090,3,5,0.21306,KZNIFHPLKGYRTM-UHFFFAOYSA-N,5280443,,1,90.9,0.40886214,3,TAR00003,7,"Nitric oxide synthase, inducible",99,MOL000008
TAR00003,DIS00442,9,MOL000009,luteolin-7-o-glucoside,7.29267735852,448.410,0.162,-1.22694,-2.48723,7,11,0.77998,PEFNSGRTCBGNAN-QNDFHXLGSA-N,5280637,,4,190.28,0.31502295,3,TAR00003,7,"Nitric oxide synthase, inducible",147,MOL000009
TAR00003,DIS00442,11,MOL000011,"(2R,3R)-3-(4-hydroxy-3-methoxy-phenyl)-5-methoxy-2-methylol-2,3-dihydropyrano[5,6-h][1,4]benzodioxin-9-one",68.8255990293,386.380,2.487,0.21007,-0.53013,2,8,0.66236,OCBGWPJNUZMLCA-NVXWUHKLSA-N,442510,3.394639,4,107.59,0.25540102,3,TAR00003,7,"Nitric oxide synthase, inducible",151,MOL000011
TAR00078,DIS00443,11,MOL000011,"(2R,3R)-3-(4-hydroxy-3-methoxy-phenyl)-5-methoxy-2-methylol-2,3-dihydropyrano[5,6-h][1,4]benzodioxin-9-one",68.8255990293,386.380,2.487,0.21007,-0.53013,2,8,0.66236,OCBGWPJNUZMLCA-NVXWUHKLSA-N,442510,3.394639,4,107.59,0.25540102,76,TAR00078,238,Peroxisome proliferator activated receptor gamma,157,MOL000011
TAR00491,DIS00353,12,MOL000012,Arachic acid,16.6563562095,312.600,8.192,1.17971,1.08582,1,2,0.19499,VKOBVWXKNCXXDE-UHFFFAOYSA-N,10467,,18,37.3,0.17879377,477,TAR00491,2404,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",197,MOL000012
TAR00078,DIS00443,12,MOL000012,Arachic acid,16.6563562095,312.600,8.192,1.17971,1.08582,1,2,0.19499,VKOBVWXKNCXXDE-UHFFFAOYSA-N,10467,,18,37.3,0.17879377,76,TAR00078,238,Peroxisome proliferator activated receptor gamma,184,MOL000012
TAR00003,DIS00442,12,MOL000012,Arachic acid,16.6563562095,312.600,8.192,1.17971,1.08582,1,2,0.19499,VKOBVWXKNCXXDE-UHFFFAOYSA-N,10467,,18,37.3,0.17879377,3,TAR00003,7,"Nitric oxide synthase, inducible",179,MOL000012
TAR00078,DIS00443,22,MOL000022,"14-acetyl-12-senecioyl-2E,8Z,10E-atractylentriol",63.3709182303,356.450,3.543,0.42142,-1.13888,1,5,0.29956,CQDVFBMTEZFKKY-PUYRJQRLSA-N,Not Available,6.428948,10,72.83,0,76,TAR00078,238,Peroxisome proliferator activated receptor gamma,254,MOL000022
TAR00003,DIS00442,23,MOL000023,Hemo-sol,39.8409788472,136.260,3.503,1.82929,2.11692,0,0,0.02231,XMGQYMWWDOXHJM-JTQLQIEISA-N,440917,11.679068,1,0,0,3,TAR00003,7,"Nitric oxide synthase, inducible",256,MOL000023
TAR00265,DIS00203,24,MOL000024,alpha-humulene,22.9768241266,204.390,5.035,1.87788,2.07698,0,0,0.061124,FAMPSKZZVDUYOS-HRGUGZIWSA-N,5281520,,0,0,0,253,TAR00265,777,Tumor necrosis factor,282,MOL000024
TAR00063,DIS00207,30,MOL000030,(1R)-2-methyl-1-phenylprop-2-en-1-ol,75.1034694564,148.220,2.317,1.26587,1.38252,1,1,0.028357,ZGYBYYJGIKPBFD-SNVBAGLBSA-N,7015153,-2.129028,2,20.23,0,61,TAR00063,193,Beta-1 adrenergic receptor,327,MOL000030
TAR00003,DIS00442,34,MOL000034,"2-[(1R,3S,4S)-3-isopropenyl-4-methyl-4-vinylcyclohexyl]propan-2-ol",19.0331206245,222.410,3.701,1.37343,1.46215,1,1,0.072534,GFJIQNADMLPFOW-VNHYZAJKSA-N,92138,,3,20.23,0,3,TAR00003,7,"Nitric oxide synthase, inducible",355,MOL000034
TAR00003,DIS00442,38,MOL000038,Akridin,33.7124255211,179.230,3.353,1.62661,1.53450,0,1,0.097884,DZBUGLKDJFMEHC-UHFFFAOYSA-N,9215,6.819501,0,12.89,0,3,TAR00003,7,"Nitric oxide synthase, inducible",441,MOL000038
TAR00003,DIS00442,40,MOL000040,Scopoletol,27.7734608153,192.180,1.616,0.71351,0.29931,1,4,0.076154,RODXRVNMMDRFIK-UHFFFAOYSA-N,5280460,,1,59.67,0,3,TAR00003,7,"Nitric oxide synthase, inducible",456,MOL000040
TAR00078,DIS00443,40,MOL000040,Scopoletol,27.7734608153,192.180,1.616,0.71351,0.29931,1,4,0.076154,RODXRVNMMDRFIK-UHFFFAOYSA-N,5280460,,1,59.67,0,76,TAR00078,238,Peroxisome proliferator activated receptor gamma,460,MOL000040
TAR00214,DIS00353,41,MOL000041,PHA,41.6178844433,165.210,0.955,0.36023,0.21788,3,3,0.036077,COLNVLDHVKWLRT-QMMMGPOBSA-N,6925665,4.61834,3,63.32,0,205,TAR00214,629,Alpha-2B adrenergic receptor,494,MOL000041
TAR00003,DIS00442,41,MOL000041,PHA,41.6178844433,165.210,0.955,0.36023,0.21788,3,3,0.036077,COLNVLDHVKWLRT-QMMMGPOBSA-N,6925665,4.61834,3,63.32,0,3,TAR00003,7,"Nitric oxide synthase, inducible",479,MOL000041
TAR00063,DIS00207,41,MOL000041,PHA,41.6178844433,165.210,0.955,0.36023,0.21788,3,3,0.036077,COLNVLDHVKWLRT-QMMMGPOBSA-N,6925665,4.61834,3,63.32,0,61,TAR00063,193,Beta-1 adrenergic receptor,484,MOL000041
TAR00105,DIS00353,41,MOL000041,PHA,41.6178844433,165.210,0.955,0.36023,0.21788,3,3,0.036077,COLNVLDHVKWLRT-QMMMGPOBSA-N,6925665,4.61834,3,63.32,0,103,TAR00105,318,Alpha-2A adrenergic receptor,488,MOL000041
TAR00003,DIS00442,42,MOL000042,LPG,87.69200501,89.110,-0.601,-0.34365,-0.76534,3,3,0.0059892,QNAYBMKLOCPYGJ-REOHCLBHSA-N,7311724,11.5838,1,63.32,0,3,TAR00003,7,"Nitric oxide synthase, inducible",508,MOL000042
TAR00735,DIS00353,42,MOL000042,LPG,87.69200501,89.110,-0.601,-0.34365,-0.76534,3,3,0.0059892,QNAYBMKLOCPYGJ-REOHCLBHSA-N,7311724,11.5838,1,63.32,0,713,TAR00735,2230,Catalase,535,MOL000042
TAR00003,DIS00442,43,MOL000043,atractylenolide i,37.3654313365,230.330,3.323,1.29634,1.28500,0,2,0.1488,ZTVSGQPHMUYCRS-SWLSCSKDSA-N,5321018,7.099736,0,30.21,0,3,TAR00003,7,"Nitric oxide synthase, inducible",585,MOL000043
TAR00265,DIS00203,43,MOL000043,atractylenolide i,37.3654313365,230.330,3.323,1.29634,1.28500,0,2,0.1488,ZTVSGQPHMUYCRS-SWLSCSKDSA-N,5321018,7.099736,0,30.21,0,253,TAR00265,777,Tumor necrosis factor,586,MOL000043
TAR00003,DIS00442,44,MOL000044,atractylenolideII,47.5039802837,232.350,3.573,1.29724,1.37316,0,2,0.14799,OQYBLUDOOFOBPO-KCQAQPDRSA-N,14448070,7.209052,0,26.3,0,3,TAR00003,7,"Nitric oxide synthase, inducible",597,MOL000044
TAR00265,DIS00203,45,MOL000045,atractylenolide iii,68.1129985935,248.350,2.925,0.74506,0.63167,1,3,0.17145,FBMORZZOJSDNRQ-GLQYFDAESA-N,155948,7.169618,0,46.53,0,253,TAR00265,777,Tumor necrosis factor,609,MOL000045
TAR00003,DIS00442,45,MOL000045,atractylenolide iii,68.1129985935,248.350,2.925,0.74506,0.63167,1,3,0.17145,FBMORZZOJSDNRQ-GLQYFDAESA-N,155948,7.169618,0,46.53,0,3,TAR00003,7,"Nitric oxide synthase, inducible",608,MOL000045
TAR00063,DIS00207,46,MOL000046,atractylone,41.1007739542,216.350,4.109,1.76369,1.85447,0,1,0.12713,TYPSVDGIQAOBAD-ZFWWWQNUSA-N,12299876,1.73847,0,13.14,0,61,TAR00063,193,Beta-1 adrenergic receptor,623,MOL000046
TAR00003,DIS00442,49,MOL000049,3¦Â-acetoxyatractylone,54.066717067,274.390,3.387,1.13182,1.07517,0,3,0.21906,YYGOPZCCRBWMBK-ZOBUZTSGSA-N,Not Available,-1.305993,2,39.44,0,3,TAR00003,7,"Nitric oxide synthase, inducible",662,MOL000049
TAR00003,DIS00442,50,MOL000050,GLY,48.7371354815,75.080,-0.978,-0.55597,-1.02919,3,3,0.0033178,DHMQDGOQFOQNFH-UHFFFAOYSA-N,5257127,11.946,1,63.32,0,3,TAR00003,7,"Nitric oxide synthase, inducible",682,MOL000050
TAR00735,DIS00353,50,MOL000050,GLY,48.7371354815,75.080,-0.978,-0.55597,-1.02919,3,3,0.0033178,DHMQDGOQFOQNFH-UHFFFAOYSA-N,5257127,11.946,1,63.32,0,713,TAR00735,2230,Catalase,738,MOL000050
TAR00003,DIS00442,52,MOL000052,Gulutamine,6.65591856909,147.150,-0.924,-1.05342,-1.97001,4,5,0.021387,WHUUTDBJXJRKMK-VKHMYHEASA-N,44272391,,4,100.62,0,3,TAR00003,7,"Nitric oxide synthase, inducible",863,MOL000052
TAR00003,DIS00442,54,MOL000054,L-,47.64200167,174.240,-1.107,-0.49475,-1.03774,7,6,0.031878,ODKSFYDXXFIFQN-BYPYZUCNSA-N,28782,0.853607,6,125.22,0,3,TAR00003,7,"Nitric oxide synthase, inducible",903,MOL000054
TAR00003,DIS00442,56,MOL000056,DTY,57.5545947054,181.210,0.688,-0.10054,-0.48594,4,4,0.046654,OUYCCCASQSFEME-QMMMGPOBSA-N,6942100,0.964133,3,83.55,0,3,TAR00003,7,"Nitric oxide synthase, inducible",914,MOL000056
TAR00214,DIS00353,56,MOL000056,DTY,57.5545947054,181.210,0.688,-0.10054,-0.48594,4,4,0.046654,OUYCCCASQSFEME-QMMMGPOBSA-N,6942100,0.964133,3,83.55,0,205,TAR00214,629,Alpha-2B adrenergic receptor,927,MOL000056
TAR00063,DIS00207,56,MOL000056,DTY,57.5545947054,181.210,0.688,-0.10054,-0.48594,4,4,0.046654,OUYCCCASQSFEME-QMMMGPOBSA-N,6942100,0.964133,3,83.55,0,61,TAR00063,193,Beta-1 adrenergic receptor,919,MOL000056
TAR00105,DIS00353,56,MOL000056,DTY,57.5545947054,181.210,0.688,-0.10054,-0.48594,4,4,0.046654,OUYCCCASQSFEME-QMMMGPOBSA-N,6942100,0.964133,3,83.55,0,103,TAR00105,318,Alpha-2A adrenergic receptor,922,MOL000056
TAR00003,DIS00442,65,MOL000065,ASI,79.7370198521,133.120,-1.245,-1.02271,-1.53500,4,5,0.017132,CKLJMWTZIZZHCS-REOHCLBHSA-N,44367445,11.375,3,100.62,0,3,TAR00003,7,"Nitric oxide synthase, inducible",1055,MOL000065
TAR00003,DIS00442,67,MOL000067,L-Valin,53.3298055291,117.170,0.242,0.04105,-0.14396,3,3,0.011914,KZSNJWFQEVHDMF-BYPYZUCNSA-N,6971018,11.3439,2,63.32,0,3,TAR00003,7,"Nitric oxide synthase, inducible",1120,MOL000067
TAR00078,DIS00443,69,MOL000069,palmitic acid,19.2965647018,256.480,6.368,1.09151,0.99862,1,2,0.098573,IPCSVZSSVZVIGE-UHFFFAOYSA-N,985,,14,37.3,0,76,TAR00078,238,Peroxisome proliferator activated receptor gamma,1179,MOL000069
TAR00003,DIS00442,69,MOL000069,palmitic acid,19.2965647018,256.480,6.368,1.09151,0.99862,1,2,0.098573,IPCSVZSSVZVIGE-UHFFFAOYSA-N,985,,14,37.3,0,3,TAR00003,7,"Nitric oxide synthase, inducible",1176,MOL000069
TAR00265,DIS00203,69,MOL000069,palmitic acid,19.2965647018,256.480,6.368,1.09151,0.99862,1,2,0.098573,IPCSVZSSVZVIGE-UHFFFAOYSA-N,985,,14,37.3,0,253,TAR00265,777,Tumor necrosis factor,1173,MOL000069
TAR00003,DIS00442,71,MOL000071,Istidina,53.1753062753,155.180,-1.015,-0.25034,-0.39524,4,4,0.029475,HNDVDQJCIGZPNO-YFKPBYRVSA-N,6971009,-5.717124,3,92,0,3,TAR00003,7,"Nitric oxide synthase, inducible",1192,MOL000071
TAR00003,DIS00442,72,MOL000072,8¦Â-ethoxy atractylenolide ¢ó,35.950919284,276.410,3.682,1.07824,1.12047,0,3,0.21079,JATCNILBQFTWFJ-XKQJLSEDSA-N,14448075,8.34119,2,35.53,0,3,TAR00003,7,"Nitric oxide synthase, inducible",1201,MOL000072
TAR00003,DIS00442,73,MOL000073,ent-Epicatechin,48.95984114,290.290,1.920,0.01948,-0.64284,5,6,0.24162,PFTAWBLQPZVEMU-ZFWWWQNUSA-N,182232,0.626389,1,110.38,0.34225169,3,TAR00003,7,"Nitric oxide synthase, inducible",1213,MOL000073
TAR00078,DIS00443,73,MOL000073,ent-Epicatechin,48.95984114,290.290,1.920,0.01948,-0.64284,5,6,0.24162,PFTAWBLQPZVEMU-ZFWWWQNUSA-N,182232,0.626389,1,110.38,0.34225169,76,TAR00078,238,Peroxisome proliferator activated receptor gamma,1217,MOL000073
TAR00078,DIS00443,74,MOL000074,"(4E,6E)-1,7-bis(4-hydroxyphenyl)hepta-4,6-dien-3-one",67.9234911821,294.370,3.976,0.82858,-0.42281,2,3,0.23563,QIROPQQWKBMABC-ZPUQHVIOSA-N,10613719,4.381483,6,57.53,0.44782755,76,TAR00078,238,Peroxisome proliferator activated receptor gamma,1234,MOL000074
TAR00003,DIS00442,79,MOL000079,"6,7-dihydroxy-indan-4-carbaldehyde",46.2657918905,178.200,2.112,0.69852,0.37205,2,3,0.061521,BVKKHPBKRVEHGR-UHFFFAOYSA-N,24901150,13.752643,1,57.53,0.29635116,3,TAR00003,7,"Nitric oxide synthase, inducible",1254,MOL000079
TAR00003,DIS00442,96,MOL000096,(-)-catechin,49.6763868,290.290,1.920,-0.02751,-0.78354,5,6,0.24162,PFTAWBLQPZVEMU-HIFRSBDPSA-N,73160,0.383809,1,110.38,0.34617227,3,TAR00003,7,"Nitric oxide synthase, inducible",1294,MOL000096
TAR00078,DIS00443,96,MOL000096,(-)-catechin,49.6763868,290.290,1.920,-0.02751,-0.78354,5,6,0.24162,PFTAWBLQPZVEMU-HIFRSBDPSA-N,73160,0.383809,1,110.38,0.34617227,76,TAR00078,238,Peroxisome proliferator activated receptor gamma,1298,MOL000096
TAR00078,DIS00443,97,MOL000098,quercetin,46.4333481195,302.250,1.504,0.04842,-0.76890,5,7,0.27525,REFJWTPEDVJJIY-UHFFFAOYSA-N,5280343,14.400548,1,131.36,0.38453352,76,TAR00078,238,Peroxisome proliferator activated receptor gamma,1376,MOL000098
TAR00491,DIS00353,97,MOL000098,quercetin,46.4333481195,302.250,1.504,0.04842,-0.76890,5,7,0.27525,REFJWTPEDVJJIY-UHFFFAOYSA-N,5280343,14.400548,1,131.36,0.38453352,477,TAR00491,2404,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",1393,MOL000098
TAR00265,DIS00203,97,MOL000098,quercetin,46.4333481195,302.250,1.504,0.04842,-0.76890,5,7,0.27525,REFJWTPEDVJJIY-UHFFFAOYSA-N,5280343,14.400548,1,131.36,0.38453352,253,TAR00265,777,Tumor necrosis factor,1326,MOL000098
TAR00003,DIS00442,97,MOL000098,quercetin,46.4333481195,302.250,1.504,0.04842,-0.76890,5,7,0.27525,REFJWTPEDVJJIY-UHFFFAOYSA-N,5280343,14.400548,1,131.36,0.38453352,3,TAR00003,7,"Nitric oxide synthase, inducible",1315,MOL000098
TAR00417,DIS00694,97,MOL000098,quercetin,46.4333481195,302.250,1.504,0.04842,-0.76890,5,7,0.27525,REFJWTPEDVJJIY-UHFFFAOYSA-N,5280343,14.400548,1,131.36,0.38453352,403,TAR00417,1649,C-C motif chemokine 2,1338,MOL000098
TAR00491,DIS00353,98,MOL000100,isoquercetin_qt,5.92419029029,302.250,0.337,0.00086,-0.77890,5,7,0.27545,NVUXMRHWDAVQKI-UHFFFAOYSA-N,Not Available,,1,129.52,0.035255697,477,TAR00491,2404,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",1417,MOL000100
TAR00003,DIS00442,98,MOL000100,isoquercetin_qt,5.92419029029,302.250,0.337,0.00086,-0.77890,5,7,0.27545,NVUXMRHWDAVQKI-UHFFFAOYSA-N,Not Available,,1,129.52,0.035255697,3,TAR00003,7,"Nitric oxide synthase, inducible",1402,MOL000100
TAR00078,DIS00443,98,MOL000100,isoquercetin_qt,5.92419029029,302.250,0.337,0.00086,-0.77890,5,7,0.27545,NVUXMRHWDAVQKI-UHFFFAOYSA-N,Not Available,,1,129.52,0.035255697,76,TAR00078,238,Peroxisome proliferator activated receptor gamma,1407,MOL000100
TAR00078,DIS00443,106,MOL000108,quercetin 3-o-rhamnopyranosyl,3.20153312753,610.570,-1.446,-2.46106,-3.27346,10,16,0.68243,IKGXIBQEEMLURG-GALJDQSWSA-O,Not Available,,6,269.43,0.31457746,76,TAR00078,238,Peroxisome proliferator activated receptor gamma,1457,MOL000108
TAR00003,DIS00442,106,MOL000108,quercetin 3-o-rhamnopyranosyl,3.20153312753,610.570,-1.446,-2.46106,-3.27346,10,16,0.68243,IKGXIBQEEMLURG-GALJDQSWSA-O,Not Available,,6,269.43,0.31457746,3,TAR00003,7,"Nitric oxide synthase, inducible",1454,MOL000108
TAR00003,DIS00442,109,MOL000111,"quercetin,3-o-rutinoside",3.20153312753,610.570,-1.446,-2.38155,-3.10105,10,16,0.683,IKGXIBQEEMLURG-BKUODXTLSA-O,Not Available,,6,269.43,0.30140099,3,TAR00003,7,"Nitric oxide synthase, inducible",1467,MOL000111
TAR00078,DIS00443,109,MOL000111,"quercetin,3-o-rutinoside",3.20153312753,610.570,-1.446,-2.38155,-3.10105,10,16,0.683,IKGXIBQEEMLURG-BKUODXTLSA-O,Not Available,,6,269.43,0.30140099,76,TAR00078,238,Peroxisome proliferator activated receptor gamma,1470,MOL000111
TAR00491,DIS00353,110,MOL000112,quercetin-3-o-galactopyranoside,1.16574537204,464.410,-0.587,-1.51748,-2.18497,8,12,0.76906,OVSQVDMCBVZWGM-PRPRGGMHSA-O,Not Available,,4,210.51,0.29897782,477,TAR00491,2404,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",1499,MOL000112
TAR00003,DIS00442,110,MOL000112,quercetin-3-o-galactopyranoside,1.16574537204,464.410,-0.587,-1.51748,-2.18497,8,12,0.76906,OVSQVDMCBVZWGM-PRPRGGMHSA-O,Not Available,,4,210.51,0.29897782,3,TAR00003,7,"Nitric oxide synthase, inducible",1479,MOL000112
TAR00078,DIS00443,110,MOL000112,quercetin-3-o-galactopyranoside,1.16574537204,464.410,-0.587,-1.51748,-2.18497,8,12,0.76906,OVSQVDMCBVZWGM-PRPRGGMHSA-O,Not Available,,4,210.51,0.29897782,76,TAR00078,238,Peroxisome proliferator activated receptor gamma,1484,MOL000112
TAR00105,DIS00353,112,MOL000114,vanillic acid,35.4723531931,168.160,1.151,0.43417,0.09082,2,4,0.040917,WKOLLVMJNQIZCI-UHFFFAOYSA-N,8468,11.622444,2,66.76,0.34218386,103,TAR00105,318,Alpha-2A adrenergic receptor,1512,MOL000114
TAR00003,DIS00442,116,MOL000118,(L)-alpha-Terpineol,48.7977727286,154.280,2.415,1.39392,1.72345,1,1,0.030772,WUOACPNHFRMFPN-SECBINFHSA-N,443162,11.349096,1,20.23,0.26883334,3,TAR00003,7,"Nitric oxide synthase, inducible",1533,MOL000118
TAR00078,DIS00443,116,MOL000118,(L)-alpha-Terpineol,48.7977727286,154.280,2.415,1.39392,1.72345,1,1,0.030772,WUOACPNHFRMFPN-SECBINFHSA-N,443162,11.349096,1,20.23,0.26883334,76,TAR00078,238,Peroxisome proliferator activated receptor gamma,1541,MOL000118
TAR00003,DIS00442,117,MOL000119,ZINC02040970,40.4333755876,222.410,4.562,1.43569,1.31354,1,1,0.06012,FQTLCLSUCSAZDY-GOFCXVBSSA-N,11241545,4.728623,7,20.23,0.30294737,3,TAR00003,7,"Nitric oxide synthase, inducible",1569,MOL000119
TAR00265,DIS00203,122,MOL000124,citral,22.5159357129,152.260,3.190,1.33303,1.42762,0,1,0.020754,WTEVQBCEXWBHNA-JXMROGBWSA-N,638011,,4,17.07,0.33392501,253,TAR00265,777,Tumor necrosis factor,1615,MOL000124
TAR00003,DIS00442,126,MOL000128,NERYLACETATE,25.9400016875,196.320,3.313,1.28068,1.28339,0,2,0.041771,HIGQPQRQIQDZMP-DHZHZOJOSA-N,1549026,,6,26.3,0.2704843,3,TAR00003,7,"Nitric oxide synthase, inducible",1654,MOL000128
TAR00003,DIS00442,129,MOL000131,EIC,41.9044360216,280.500,6.391,1.16206,0.90315,1,2,0.14347,OYHQOLUKZRVURQ-HZJYTTRNSA-N,5280450,7.497042,14,37.3,0.25038776,3,TAR00003,7,"Nitric oxide synthase, inducible",1667,MOL000131
TAR00078,DIS00443,129,MOL000131,EIC,41.9044360216,280.500,6.391,1.16206,0.90315,1,2,0.14347,OYHQOLUKZRVURQ-HZJYTTRNSA-N,5280450,7.497042,14,37.3,0.25038776,76,TAR00078,238,Peroxisome proliferator activated receptor gamma,1672,MOL000131
TAR00003,DIS00442,133,MOL000135,Deoxyvasicinone,56.2937266568,186.230,1.291,1.03750,0.60912,0,3,0.095238,VARHXCYGZKSOOO-UHFFFAOYSA-N,68261,10.525544,0,34.89,0.32066336,3,TAR00003,7,"Nitric oxide synthase, inducible",1692,MOL000135
TAR00105,DIS00353,133,MOL000135,Deoxyvasicinone,56.2937266568,186.230,1.291,1.03750,0.60912,0,3,0.095238,VARHXCYGZKSOOO-UHFFFAOYSA-N,68261,10.525544,0,34.89,0.32066336,103,TAR00105,318,Alpha-2A adrenergic receptor,1702,MOL000135
TAR00063,DIS00207,133,MOL000135,Deoxyvasicinone,56.2937266568,186.230,1.291,1.03750,0.60912,0,3,0.095238,VARHXCYGZKSOOO-UHFFFAOYSA-N,68261,10.525544,0,34.89,0.32066336,61,TAR00063,193,Beta-1 adrenergic receptor,1697,MOL000135
TAR00078,DIS00443,133,MOL000135,Deoxyvasicinone,56.2937266568,186.230,1.291,1.03750,0.60912,0,3,0.095238,VARHXCYGZKSOOO-UHFFFAOYSA-N,68261,10.525544,0,34.89,0.32066336,76,TAR00078,238,Peroxisome proliferator activated receptor gamma,1699,MOL000135
TAR00063,DIS00207,139,MOL000141,hydroxytyrosol,57.5691742304,154.180,1.012,0.29579,-0.16620,3,3,0.032051,JUUBCHWRXWPFFH-UHFFFAOYSA-N,82755,1.917179,2,60.69,0.32364431,61,TAR00063,193,Beta-1 adrenergic receptor,1728,MOL000141
TAR00105,DIS00353,139,MOL000141,hydroxytyrosol,57.5691742304,154.180,1.012,0.29579,-0.16620,3,3,0.032051,JUUBCHWRXWPFFH-UHFFFAOYSA-N,82755,1.917179,2,60.69,0.32364431,103,TAR00105,318,Alpha-2A adrenergic receptor,1730,MOL000141
TAR00003,DIS00442,139,MOL000141,hydroxytyrosol,57.5691742304,154.180,1.012,0.29579,-0.16620,3,3,0.032051,JUUBCHWRXWPFFH-UHFFFAOYSA-N,82755,1.917179,2,60.69,0.32364431,3,TAR00003,7,"Nitric oxide synthase, inducible",1722,MOL000141
